# Copyright 2021 Google LLC
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     https://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.
#
#
# This is a larger example typo dictionary containing 400 entries. It builds to
# a table of about 6000 bytes, so you'll need a keyboard with a generous
# amount of free firmware space to use the full dictionary. Alternatively, pick
# out a subset of entries to a separate file, then build a table from that.
#
# Dictionary syntax:
# Each line of this file defines one typo correction entry with the syntax
# "typo -> correction". Typos and corrections are case insensitive, and any
# whitespace before or after the typo and correction is ignored. The typo must be
# only the letters a-z, or the special character : representing a word break.
#
# For documentation about how to use this dictionary, see
# https://getreuer.info/posts/keyboards/autocorrection
#
# Further resources:
#  * Wikipedia has a large list of common typos at
#    https://en.wikipedia.org/wiki/Wikipedia:Lists_of_common_misspellings/For_machines
#
#  * EmacsWiki has another list of typos at
#    https://www.emacswiki.org/emacs/autocorrection_abbrev_defs
#
#  * You can find data on English word frequencies at
#    https://www.wordfrequency.info/samples.asp


## 10 most common words.
# The words "there", "about", "their", "would", "people", "which", "could",
# "think", "other", and "because" are among the most common words in English
# that are 5 letters or longer. (We don't include entries for words shorter than
# that to avoid false triggering.)
:htere        -> there
adviced       -> advised
aledge        -> allege
alledge       -> allege
amature       -> amateur
anomolous     -> anomalous
anomoly       -> anomaly
:aparent      -> apparent
aparrent      -> apparent
apparant      -> apparent
apparrent     -> apparent
asthetic      -> aesthetic
auxilary      -> auxiliary
auxillary     -> auxiliary
auxilliary    -> auxiliary
bankrupcy     -> bankruptcy
busness       -> business
bussiness     -> business
calander      -> calendar
commitee      -> committee
comittee      -> committee
competance    -> competence
competant     -> competent
concensus     -> consensus
cognizent     -> cognizant
copywrite:    -> copyright
choosen       -> chosen
collegue      -> colleague
excercise     -> exercise
:grammer      -> grammar
:guage        -> gauge
govement      -> government
govenment     -> government
goverment     -> government
governmnet    -> government
govorment     -> government
govornment    -> government
guaratee      -> guarantee
garantee      -> guarantee
gaurantee     -> guarantee
heirarchy     -> hierarchy
hygeine       -> hygiene
hypocracy     -> hypocrisy
hypocrasy     -> hypocrisy
hypocricy     -> hypocrisy
hypocrit:     -> hypocrite
# :looses:      -> loses
maintence     -> maintenance
morgage       -> mortgage
neccesary     -> necessary
necesary      -> necessary
pallete       -> palette
paralel       -> parallel
parralel      -> parallel
parrallel     -> parallel
priviledge    -> privilege
probablly     -> probably
prominant     -> prominent
propogate     -> propagate
proove        -> prove
psuedo        -> pseudo
reciept       -> receipt
# Catch misspellings of "receives", "receiving", etc.
receiev       -> receiv
reciev        -> receiv
recepient     -> recipient
recipiant     -> recipient
relevent      -> relevant
repitition    -> repetition
safty         -> safety
saftey        -> safety
# Catch misspellings of "separate", "separating", etc.
seperat       -> separat
spectogram    -> spectrogram
symetric      -> symmetric
tolerence     -> tolerance


## Words particularly for coding.
# Entries for common code keywords ("const") and terminology ("lookup").
cacheing      -> caching
complier      -> compiler
doulbe        -> double
dyanmic       -> dynamic
# As in "execute", "executable", "executing", ...
excecut       -> execut
failse        -> false
:fales         -> false
fasle         -> false
flase:       -> false
indeces       -> indices
indecies      -> indices
indicies      -> indices
interator     -> iterator
looup         -> lookup
namesapce     -> namespace
namespcae     -> namespace
nulltpr       -> nullptr
operaotr      -> operator
overide:     -> override
ovveride      -> override
poitner       -> pointer
:rference     -> reference
referece      -> reference
# :singed:      -> signed
stirng        -> string
strign        -> string
swithc        -> switch
swtich        -> switch
teamplate     -> template
tempalte      -> template
:ture:        -> true
retrun        -> return
retun:       -> return
reutrn        -> return
cosnt         -> const
virutal       -> virtual
vitual        -> virtual
yeild         -> yield


## Catch skipped spaces between common words.
:alot:        -> a lot
:andteh       -> and the
:andthe       -> and the
:asthe:       -> as the
:atthe        -> at the
# :abouta:      -> about a
# aboutit       -> about it
aboutthe      -> about the
:tothe:       -> to the
didnot        -> did not
fromthe       -> from the


## Various additional entries.
:agred        -> agreed
:ajust:       -> adjust
:anual        -> annual
:asign        -> assign
:aslo:        -> also
:casue:       -> cause
# :choses       -> chooses
:gaurd        -> guard
:haev         -> have
:hapen        -> happen
:idaes        -> ideas
:jsut:        -> just
:jstu:        -> just
:knwo         -> know
:konw         -> know
:kwno         -> know
:ocuntry      -> country
:ocur         -> occur
:socre        -> score
:szie         -> size
:the:the:     -> the
:turth        -> truth
:uesd:        -> used
:usally       -> usually
abilties      -> abilities
abilty        -> ability
abvove        -> above
accesories    -> accessories
accomodate    -> accommodate
acommodate    -> accommodate
acomplish     -> accomplish
actualy       -> actually
acurate       -> accurate
acutally      -> actually
addtion       -> addition
againnst      -> against
:aganist      -> against
aggreed       -> agreed
agianst       -> against
ahppn         -> happen
allign        -> align
anytying      -> anything
:aquire       -> acquire
availabe      -> available
availaible    -> available
availalbe     -> available
availble      -> available
availiable    -> available
avalable      -> available
avaliable     -> available
avilable      -> available
bandwith      -> bandwidth
begginer      -> beginner
beleif        -> belief
beleive       -> believe
belive        -> believe
breif         -> brief
burried       -> buried
caluclate     -> calculate
caluculate    -> calculate
calulate      -> calculate
catagory      -> category
cauhgt        -> caught
:ceratin      -> certain
:certian      -> certain
cheif         -> chief
cieling       -> ceiling
circut        -> circuit
clasic        -> classic
cmoputer      -> computer
coform:      -> conform
comming:      -> coming
considerd     -> considered
dervied       -> derived
desicion      -> decision
diferent      -> different
diferrent     -> different
differnt      -> different
diffrent      -> different
divison:      -> division
effecient     -> efficient
eligable      -> eligible
elpased       -> elapsed
embarass      -> embarrass
embeded       -> embedded
encypt        -> encrypt
finaly        -> finally
foriegn       -> foreign
foward        -> forward
fraciton      -> fraction
fucntion      -> function
functoin      -> function
fufill        -> fulfill
fullfill      -> fulfill
futher        -> further
ganerate      -> generate
generaly      -> generally
greatful      -> grateful
heigher       -> higher
higest        -> highest
howver        -> however
hydogen       -> hydrogen
importamt     -> important
inclued       -> include
insted        -> instead
intrest       -> interest
invliad       -> invalid
largst        -> largest
learnign      -> learning
liasion       -> liaison
likly         -> likely
lisense       -> license
listner       -> listener
macthing      -> matching
manefist      -> manifest
mesage        -> message
naturual      -> natural
occassion     -> occasion
occured       -> occurred
particualr    -> particular
paticular     -> particular
peice         -> piece
perhasp       -> perhaps
perheaps      -> perhaps
perhpas       -> perhaps
perphas       -> perhaps
persue        -> pursue
posess        -> possess
postion:      -> position
preiod        -> period
primarly      -> primarily
privte        -> private
proccess      -> process
proeprty      -> property
propery       -> property
realtion      -> relation
reasearch     -> research
recuring      -> recurring
refered       -> referred
regluar       -> regular
releated      -> related
resutl        -> result
reuslt        -> result
reveiw        -> review
satisifed     -> satisfied
scheduel      -> schedule
sequnce       -> sequence
similiar      -> similar
simmilar      -> similar
slighly       -> slightly
somehwat      -> somewhat
statment      -> statement
sucess        -> success
succsess      -> success
sugest        -> suggest
sumary        -> summary
supress       -> suppress
surpress:     -> suppress
thresold      -> threshold
tongiht       -> tonight
tranpose      -> transpose
typcial       -> typical
udpate        -> update
ususally      -> usually
verticies     -> vertices
whereever     -> wherever
wherre:       -> where
wierd         -> weird

# Extract of https://github.com/genesy/auto-correct/blob/master/src/defaultList.json
# 2151 corrections
:Brasillian: -> Brazilian
:Britian: -> Britain
:Brittish: -> British
:Cambrige: -> Cambridge
:Carribbean: -> Caribbean
:Carribean: -> Caribbean
:Champange: -> Champagne
:Cincinatti: -> Cincinnati
:Cincinnatti: -> Cincinnati
:Conneticut: -> Connecticut
:Enlish: -> English
:Europian: -> European
:Eurpean: -> European
:Eurpoean: -> European
:Febuary: -> February
:Feburary: -> February
:Foundland: -> Newfoundland
:Guatamala: -> Guatemala
:Hallowean: -> Halloween
:Januray: -> January
:Japanes: -> Japanese
:Jospeh: -> Joseph
:Massachussets: -> Massachusetts
:Massachussetts: -> Massachusetts
:Mediteranean: -> Mediterranean
:Michagan: -> Michigan
:Misouri: -> Missouri
:Missisipi: -> Mississippi
:Missisippi: -> Mississippi
:Montnana: -> Montana
:Palistian: -> Palestinian
:Palistinian: -> Palestinian
:Pennyslvania: -> Pennsylvania
:Philipines: -> Philippines
:Phillipines: -> Philippines
:Phillippines: -> Philippines
:Portugese: -> Portuguese
:Queenland: -> Queensland
:Russion: -> Russian
:Saterday: -> Saturday
:Tuscon: -> Tucson
:abandonned: -> abandoned
:abilties: -> abilities
:abilty: -> ability
:abondoned: -> abandoned
:abbout: -> about
:abritrary: -> arbitrary
:absense: -> absence
:absolutly: -> absolutely
:absorbsion: -> absorption
:absorbtion: -> absorption
:acadamy: -> academy
:acadmic: -> academic
:accademic: -> academic
:accademy: -> academy
:acccused: -> accused
:acceptence: -> acceptance
:acceptible: -> acceptable
:accesories: -> accessories
:accessable: -> accessible
:accomadate: -> accommodate
:accomadation: -> accommodation
:accomadations: -> accommodations
:accomdate: -> accommodate
:accomodate: -> accommodate
:accomodation: -> accommodation
:accomodations: -> accommodations
:accompanyed: -> accompanied
:accoring: -> according
:accoustic: -> acoustic
:accross: -> across
:accuraccy: -> accuracy
:accussed: -> accused
:acedemic: -> academic
:acheive: -> achieve
:acheived: -> achieved
:acheivement: -> achievement
:acheivements: -> achievements
:acheiving: -> achieving
:acheivment: -> achievement
:acheivments: -> achievements
:achievment: -> achievement
:achievments: -> achievements
:achived: -> achieved
:achivement: -> achievement
:achivements: -> achievements
:acknowldeged: -> acknowledged
:acommodate: -> accommodate
:acomodate: -> accommodate
:acomplish: -> accomplish
:acomplished: -> accomplished
:acording: -> according
:acordingly: -> accordingly
:activites: -> activities
:activly: -> actively
:actualy: -> actually
:acuracy: -> accuracy
:acused: -> accused
:adavanced: -> advanced
:additinally: -> additionally
:additionaly: -> additionally
:additionnal: -> additional
:addmission: -> admission
:addopt: -> adopt
:addopted: -> adopted
:addres: -> address
:addresed: -> addressed
:addresing: -> addressing
:addressess: -> addresses
:addtion: -> addition
:addtional: -> additional
:adecuate: -> adequate
:admendment: -> amendment
:admininistrative: -> administrative
:adminstered: -> administered
:adminstration: -> administration
:adminstrative: -> administrative
:adminstrator: -> administrator
:admited: -> admitted
:admnistrative: -> administrative
:adolecent: -> adolescent
:adquire: -> acquire
:adquired: -> acquired
:adresing: -> addressing
:adress: -> address
:adressed: -> addressed
:adressing: -> addressing
:advertisment: -> advertisement
:advertisments: -> advertisements
:adviced: -> advised
:aeriel: -> aerial
:afair: -> affair
:affilate: -> affiliate
:affilliate: -> affiliate
:affort: -> afford
:againnst: -> against
:agains: -> against
:agaisnt: -> against
:aganist: -> against
:aggreed: -> agreed
:aggreement: -> agreement
:aggresive: -> aggressive
:agian: -> again
:agianst: -> against
:agina: -> again
:aginst: -> against
:agred: -> agreed
:agreeement: -> agreement
:agreemnt: -> agreement
:agregate: -> aggregate
:agricuture: -> agriculture
:ahev: -> have
:ahppen: -> happen
:ahve: -> have
:aicraft: -> aircraft
:aiport: -> airport
:aircaft: -> aircraft
:airporta: -> airports
:airrcraft: -> aircraft
:aisian: -> Asian
:alchohol: -> alcohol
:alchol: -> alcohol
:alcohal: -> alcohol
:aledged: -> alleged
:aleged: -> alleged
:algorhitms: -> algorithms
:algoritm: -> algorithm
:algoritms: -> algorithms
:algroithm: -> algorithm
:allign: -> align
:allready: -> already
:allthough: -> although
:almsot: -> almost
:alochol: -> alcohol
:alomst: -> almost
:alos: -> also
:alowed: -> allowed
:alowing: -> allowing
:alreayd: -> already
:alse: -> else
:alsot: -> also
:alternitives: -> alternatives
:althought: -> although
:altough: -> although
:alwasy: -> always
:alwyas: -> always
:amatuer: -> amateur
:amendmant: -> amendment
:amission: -> admission
:amking: -> making
:ammend: -> amend
:ammended: -> amended
:ammendment: -> amendment
:ammendments: -> amendments
:ammount: -> amount
:amoung: -> among
:amoungst: -> amongst
:amoutn: -> amount
:amung: -> among
:anbd: -> and
:andd: -> and
:aniversary: -> anniversary
:anlalyze: -> analyze
:annonced: -> announced
:annouced: -> announced
:annualy: -> annually
:anohter: -> another
:anounced: -> announced
:anwsered: -> answered
:anyhwere: -> anywhere
:anytying: -> anything
:aparent: -> apparent
:aparment: -> apartment
:aplication: -> application
:aplied: -> applied
:aplyed: -> applied
:apparant: -> apparent
:apparantly: -> apparently
#:appart: -> apart
:appartment: -> apartment
:appartments: -> apartments
:appeareance: -> appearance
:appearence: -> appearance
:appeares: -> appears
:apperance: -> appearance
:appereance: -> appearance
:applicaiton: -> application
:applicaitons: -> applications
:appraoch: -> approach
:apprearance: -> appearance
:apprieciate: -> appreciate
:approachs: -> approaches
:appropiate: -> appropriate
:appropraite: -> appropriate
:appropropiate: -> appropriate
:approproximate: -> approximate
:approxamately: -> approximately
:approxiately: -> approximately
:approximitely: -> approximately
:apropriate: -> appropriate
:aproximate: -> approximate
:aproximately: -> approximately
:aquire: -> acquire
:aquired: -> acquired
:aquisition: -> acquisition
:aranged: -> arranged
:arangement: -> arrangement
:arbitary: -> arbitrary
:arbritrary: -> arbitrary
:archetect: -> architect
:archetects: -> architects
:archetectural: -> architectural
:archetecture: -> architecture
:archictect: -> architect
:architechture: -> architecture
:architectual: -> architectural
:aready: -> already
:arguement: -> argument
:arguements: -> arguments
:arival: -> arrival
:aroud: -> around
:arrangment: -> arrangement
:arrangments: -> arrangements
:arround: -> around
:artical: -> article
:artice: -> article
:articel: -> article
:artifical: -> artificial
:arund: -> around
:asign: -> assign
:aslo: -> also
:asociated: -> associated
:asside: -> aside
:assitant: -> assistant
:assocation: -> association
:assoicate: -> associate
:assoicated: -> associated
:assoicates: -> associates
:assualt: -> assault
:atempting: -> attempting
:atorney: -> attorney
:atribute: -> attribute
:atributes: -> attributes
:attemp: -> attempt
:attemped: -> attempted
:attemt: -> attempt
:attemted: -> attempted
:attemting: -> attempting
:attemts: -> attempts
:attendence: -> attendance
:attened: -> attended
:attension: -> attention
:attitide: -> attitude
:attritube: -> attribute
:audeince: -> audience
:audiance: -> audience
:auromated: -> automated
:austrailia: -> Australia
:austrailian: -> Australian
:auther: -> author
:authorites: -> authorities
:authorithy: -> authority
:authoritiers: -> authorities
:authrorities: -> authorities
:automaticly: -> automatically
:automibile: -> automobile
:autority: -> authority
:availabe: -> available
:availablity: -> availability
:availaible: -> available
:availble: -> available
:availiable: -> available
:availible: -> available
:avalable: -> available
:avaliable: -> available
:avation: -> aviation
:avilable: -> available
:awared: -> awarded
:awya: -> away
:backgorund: -> background
:backrounds: -> backgrounds
:bakc: -> back
:balence: -> balance
:bandwith: -> bandwidth
:bankrupcy: -> bankruptcy
:banruptcy: -> bankruptcy
:baout: -> about
:basicaly: -> basically
:basicly: -> basically
:bcak: -> back
:beacuse: -> because
:beatiful: -> beautiful
:beautyfull: -> beautiful
:becamae: -> became
:becames: -> becomes
:becasue: -> because
:beccause: -> because
:becomeing: -> becoming
:becomming: -> becoming
:becouse: -> because
:becuase: -> because
:becuse: -> because
:bedore: -> before
:befoer: -> before
:beggin: -> begin
:begginer: -> beginner
:begginers: -> beginners
:beggining: -> beginning
:beggins: -> begins
:begining: -> beginning
:beginnig: -> beginning
:behavour: -> behavior
:beleif: -> belief
:beleive: -> believe
:beleived: -> believed
:beleives: -> believes
:beligum: -> Belgium
:belived: -> believed
:belives: -> believes
:beng: -> being
:benificial: -> beneficial
:benifit: -> benefit
:benifits: -> benefits
:betwen: -> between
:betwenn: -> between
:beween: -> between
:bewteen: -> between
:bianry: -> binary
:bizzare: -> bizarre
:blaim: -> blame
:bondary: -> boundary
:boundry: -> boundary
:boxs: -> boxes
:breif: -> brief
:breifly: -> briefly
:briliant: -> brilliant
:broacasted: -> broadcast
:broadacasting: -> broadcasting
:buisness: -> business
:burried: -> buried
:busineses: -> businesses
:busness: -> business
:bussiness: -> business
:cahracters: -> characters
:calander: -> calendar
:caliberation: -> calibration
:caluclate: -> calculate
:caluclated: -> calculated
:caluculate: -> calculate
:caluculated: -> calculated
:calulate: -> calculate
:calulated: -> calculated
:campain: -> campaign
:campains: -> campaigns
:candadate: -> candidate
:candiate: -> candidate
:candidiate: -> candidate
:caost: -> coast
:caperbility: -> capability
:capible: -> capable
:captial: -> capital
:captued: -> captured
:capturd: -> captured
:carachter: -> character
:caracterized: -> characterized
:carefull: -> careful
:careing: -> caring
:carreer: -> career
:carrers: -> careers
:cartdridge: -> cartridge
:cartrige: -> cartridge
:catagories: -> categories
:catagory: -> category
:cathlic: -> catholic
:cementary: -> cemetery
:cemetarey: -> cemetery
:cemetary: -> cemetery
:cencus: -> census
:centruies: -> centuries
:centruy: -> century
:cerimony: -> ceremony
:ceromony: -> ceremony
:certian: -> certain
:chalenging: -> challenging
:challange: -> challenge
:challanged: -> challenged
:challege: -> challenge
:changeing: -> changing
:charachter: -> character
:charachters: -> characters
:charactersistic: -> characteristic
:charactor: -> character
:charactors: -> characters
:charaterized: -> characterized
:charcter: -> character
:charcters: -> characters
:charecter: -> character
:charector: -> character
:chariman: -> chairman
:charistics: -> characteristics
:cheif: -> chief
:chemcial: -> chemical
:chemestry: -> chemistry
:childen: -> children
:choosed: -> chosen
:choosen: -> chosen
:chracter: -> character
:chuch: -> church
:churchs: -> churches
:circulaton: -> circulation
:circut: -> circuit
:ciricuit: -> circuit
:ciriculum: -> curriculum
:civillian: -> civilian
:claer: -> clear
:claerly: -> clearly
:claimes: -> claims
:clas: -> class
:clasic: -> classic
:clasical: -> classical
:cleareance: -> clearance
:clera: -> clear
:clincial: -> clinical
:cmoputer: -> computer
:coctail: -> cocktail
:colection: -> collection
:colelctive: -> collective
:collaberative: -> collaborative
:collecton: -> collection
:collegue: -> colleague
:collegues: -> colleagues
:collony: -> colony
:comander: -> commander
:comany: -> company
:comapany: -> company
:comapny: -> company
:combanations: -> combinations
:combinatins: -> combinations
:comisioner: -> commissioner
:comisions: -> commissions
:comission: -> commission
:comissioner: -> commissioner
:comissions: -> commissions
:comited: -> committed
:comitted: -> committed
:comittee: -> committee
:commerical: -> commercial
:commericial: -> commercial
:comming: -> coming
:comminication: -> communication
:commision: -> commission
:commisioner: -> commissioner
:commisions: -> commissions
:commited: -> committed
:commitee: -> committee
:committe: -> committee
:committment: -> commitment
:committments: -> commitments
:committy: -> committee
:commongly: -> commonly
:commonweath: -> commonwealth
:commuications: -> communications
:commuinications: -> communications
:communciation: -> communication
:communiation: -> communication
:communites: -> communities
:compability: -> compatibility
:compair: -> compare
:comparision: -> comparison
:comparisions: -> comparisons
:comparitive: -> comparative
:compatability: -> compatibility
:compatable: -> compatible
:compatablity: -> compatibility
:compatiable: -> compatible
:compatiblity: -> compatibility
:compeitions: -> competitions
:compensantion: -> compensation
:competant: -> competent
:competative: -> competitive
:competion: -> competition
:competitiion: -> competition
:competive: -> competitive
:comphrehensive: -> comprehensive
:compitent: -> competent
:compleated: -> completed
:completelyl: -> completely
:completetion: -> completion
:completly: -> completely
:componant: -> component
:comprimise: -> compromise
:computated: -> computed
:computating: -> computing
:comunicate: -> communicate
:comunity: -> community
:concensus: -> consensus
:concider: -> consider
:concidered: -> considered
:concidering: -> considering
:conciders: -> considers
:concious: -> conscious
:conciousness: -> consciousness
:condidtion: -> condition
:condidtions: -> conditions
:conected: -> connected
:conection: -> connection
:conesencus: -> consensus
:confidental: -> confidential
:configuation: -> configuration
:congradulations: -> congratulations
:congresional: -> congressional
:conjuction: -> conjunction
:conscent: -> consent
:consciouness: -> consciousness
:consdider: -> consider
:consdidered: -> considered
:consdiered: -> considered
:consectutive: -> consecutive
:consenquently: -> consequently
:consentrate: -> concentrate
:consept: -> concept
:consequentually: -> consequently
:consequeseces: -> consequences
:consern: -> concern
:conserned: -> concerned
:conserning: -> concerning
:conservitive: -> conservative
:consiciousness: -> consciousness
:consicousness: -> consciousness
:considerd: -> considered
:consious: -> conscious
:consistantly: -> consistently
:consitution: -> constitution
:consitutional: -> constitutional
:consolodated: -> consolidated
:consorcium: -> consortium
:consquently: -> consequently
:constaints: -> constraints
:constanly: -> constantly
:constatn: -> constant
:constinually: -> continually
:constituion: -> constitution
:constituional: -> constitutional
:constraitn: -> constraint
:constrast: -> contrast
:consttruction: -> construction
:constuction: -> construction
:consulant: -> consultant
:containes: -> contains
:contamporary: -> contemporary
:contempoary: -> contemporary
:contempory: -> contemporary
:contibute: -> contribute
:contibuted: -> contributed
:contined: -> continued
:continous: -> continuous
:continously: -> continuously
:continueing: -> continuing
:contratry: -> contrary
:contravercial: -> controversial
:contraversy: -> controversy
:contritutions: -> contributions
:controled: -> controlled
:controling: -> controlling
:controll: -> control
:controlls: -> controls
:controvercial: -> controversial
:controvercy: -> controversy
:controversal: -> controversial
:controversey: -> controversy
:controvertial: -> controversial
:controvery: -> controversy
:contruction: -> construction
:conveinent: -> convenient
:convential: -> conventional
:convertion: -> conversion
:conviced: -> convinced
:convienient: -> convenient
:coonectivity: -> connectivity
:coordiantion: -> coordination
:coorperation: -> cooperation
:coorperations: -> corporations
:copmetitors: -> competitors
:coputer: -> computer
:copywrite: -> copyright
:coresponding: -> corresponding
:cornmitted: -> committed
:corparate: -> corporate
:corperations: -> corporations
:correponding: -> corresponding
:correposding: -> corresponding
:corrisponding: -> corresponding
:costitution: -> constitution
:cotten: -> cotton
:coucil: -> council
:coudl: -> could
:counries: -> countries
:countains: -> contains
:countires: -> countries
:coururier: -> courier
:coverted: -> converted
:cpoy: -> copy
:creaeted: -> created
:critereon: -> criterion
:criterias: -> criteria
:criticists: -> critics
:critisism: -> criticism
:crowm: -> crown
:crtical: -> critical
:cumulatative: -> cumulative
:curcuit: -> circuit
:currenly: -> currently
:curriculem: -> curriculum
:cxan: -> can
:cyclinder: -> cylinder
:dael: -> deal
:danceing: -> dancing
:december: -> December
:decison: -> decision
:decribe: -> describe
:decribed: -> described
:decribes: -> describes
:decribing: -> describing
:dectect: -> detect
:defendent: -> defendant
:deffine: -> define
:deffined: -> defined
:definately: -> definitely
:definatly: -> definitely
:definetly: -> definitely
:definining: -> defining
:definitly: -> definitely
:definiton: -> definition
:defintion: -> definition
:delevopment: -> development
:demorcracy: -> democracy
:demostration: -> demonstration
:deparment: -> department
:deparmental: -> departmental
:deparments: -> departments
:deram: -> dream
:deriviated: -> derived
:descibed: -> described
:descision: -> decision
:descisions: -> decisions
:descriibes: -> describes
:descripton: -> description
:desctruction: -> destruction
:descuss: -> discuss
:desgined: -> designed
:deside: -> decide
:desigining: -> designing
:desinations: -> destinations
:desireable: -> desirable
:desktiop: -> desktop
:desorder: -> disorder
:desparate: -> desperate
:dessigned: -> designed
:destory: -> destroy
:detailled: -> detailed
:determinining: -> determining
:developement: -> development
:developped: -> developed
:develpment: -> development
:devide: -> divide
:devided: -> divided
:devolopement: -> development
:diamons: -> diamonds
:dicover: -> discover
:dicovered: -> discovered
:dicovery: -> discovery
:dicussed: -> discussed
:diea: -> idea
:diferent: -> different
:diferrent: -> different
:differant: -> different
:differece: -> difference
:differnt: -> different
:difficulity: -> difficulty
:diffrent: -> different
:dificulties: -> difficulties
:dificulty: -> difficulty
:dimenions: -> dimensions
:dimention: -> dimension
:dimentional: -> dimensional
:dimentions: -> dimensions
:dimesnional: -> dimensional
:dirived: -> derived
:discribe: -> describe
:discribed: -> described
:discribes: -> describes
:discribing: -> describing
:disctinction: -> distinction
:disover: -> discover
:dispite: -> despite
:dispostion: -> disposition
:disricts: -> districts
:dissappointed: -> disappointed
:distiction: -> distinction
:distingished: -> distinguished
:distingquished: -> distinguished
:distrubution: -> distribution
:distruction: -> destruction
:ditributed: -> distributed
:divice: -> device
:divison: -> division
:doccument: -> document
:doccumented: -> documented
:doccuments: -> documents
:documenatry: -> documentary
:doign: -> doing
:dominiant: -> dominant
:donig: -> doing
:doub: -> doubt
:doulbe: -> double
:dowloads: -> downloads
:dramtic: -> dramatic
:dreasm: -> dreams
:driectly: -> directly
:driveing: -> driving
:drnik: -> drink
:dupicate: -> duplicate
:durig: -> during
:durring: -> during
:duting: -> during
:eahc: -> each
:ealier: -> earlier
:earnt: -> earned
:eceonomy: -> economy
:eclispe: -> eclipse
:ecomonic: -> economic
:effcient: -> efficient
:effciently: -> efficiently
